# omega(eV)     n     kappa     alpha(1/m)
3.09309309     3.59245364     1.55584522     48775631.97623723
3.10810811     3.55780096     1.54400816     48639514.58370446
3.12312312     3.52992625     1.51742059     48032877.51687681
3.13813814     3.51814709     1.48376086     47193207.32567955
3.15315315     3.52091113     1.45685776     46559224.79115988
3.16816817     3.52410325     1.44184657     46298913.47951507
3.18318318     3.51824129     1.42651123     46023575.09209730
3.19819820     3.51275974     1.39865136     45337583.71899513
3.21321321     3.52162473     1.36293010     44387087.80820572
3.22822823     3.54678333     1.33206461     43584598.16438525
3.24324324     3.58169570     1.31228352     43137077.89449652
3.25825826     3.62248209     1.30512225     43100293.13143545
3.27327327     3.66445115     1.31387568     43589317.05149211
3.28828829     3.70003214     1.33839224     44606363.77948795
3.30330330     3.72320112     1.37543140     46050135.45569356
3.31831832     3.72778859     1.42006843     47760717.58365035
3.33333333     3.70931477     1.46185215     49388486.91107246
3.34834835     3.67135517     1.48791173     50495343.16341200
3.36336336     3.62420342     1.48930040     50769118.07074992
3.37837838     3.58291445     1.46324498     50103591.56687067
3.39339339     3.56309178     1.41853155     48788417.94730923
3.40840841     3.56847604     1.37331367     47442208.41750910
3.42342342     3.58837226     1.33917928     46466810.58196206
3.43843844     3.61262076     1.31430454     45803723.89328478
3.45345345     3.63932997     1.29481823     45321673.34828352
3.46846847     3.66767565     1.27904948     44964381.34224713
3.48348348     3.69974018     1.26453166     44646455.61144948
3.49849850     3.73926650     1.25526762     44510404.64108283
3.51351351     3.78196166     1.25711568     44767247.99914035
3.52852853     3.82140736     1.26879438     45376229.48458698
3.54354354     3.85524888     1.28716319     46229043.82740517
3.55855856     3.88120475     1.30941454     47227483.18451343
3.57357357     3.89908594     1.32986632     48167514.91104555
3.58858859     3.91379448     1.34567761     48944987.74558626
3.60360360     3.92690621     1.35854878     49619887.33479759
3.61861862     3.93867709     1.36549701     50081472.83570646
3.63363363     3.95575530     1.36560611     50293297.66794468
3.64864865     3.98160096     1.36469048     50467260.54548053
3.66366366     4.01519213     1.36655110     50744034.92545895
3.67867868     4.05603308     1.37470816     51256139.45562431
3.69369369     4.10013493     1.39303238     52151356.98782165
3.70870871     4.14192284     1.42085777     53409296.24581102
3.72372372     4.17867098     1.45413727     54881551.87640916
3.73873874     4.21249433     1.48915576     56429833.61855897
3.75375375     4.24722740     1.52788647     58130008.92051132
3.76876877     4.28069874     1.57598526     60199816.60832550
3.78378378     4.30452476     1.63357511     62648249.91443712
3.79879880     4.31406833     1.69228410     65157301.69937978
3.81381381     4.31354961     1.74445486     67431488.72267762
3.82882883     4.30930778     1.78934843     69439149.73800039
3.84384384     4.30368224     1.82907825     71259299.20953235
3.85885886     4.29776142     1.86400710     72903769.11547711
3.87387387     4.29359158     1.89549463     74423751.83797497
3.88888889     4.29100121     1.92635385     75928553.25180280
3.90390390     4.28702756     1.95711182     77438740.85180560
3.91891892     4.28075332     1.98364094     78790320.60347292
3.93393393     4.27793229     2.00375125     79894041.81063282
3.94894895     4.28252044     2.02324685     80979281.22021204
3.96396396     4.29087315     2.04632120     82214236.26225390
3.97897898     4.30139730     2.07183658     83554658.23706870
3.99399399     4.31489374     2.10257508     85114282.98688926
4.00900901     4.32525010     2.14205366     87038401.09322703
4.02402402     4.32464674     2.18453264     89096907.22201742
4.03903904     4.31418780     2.21945512     90858998.05173372
4.05405405     4.30253933     2.24173579     92112270.11495602
4.06906907     4.29759349     2.25329917     92930322.50498116
4.08408408     4.30481815     2.25846718     93487163.65226807
4.09909910     4.32714083     2.26492986     94099366.84868477
4.11411411     4.36104362     2.28009289     95076327.67936823
4.12912913     4.40095903     2.30561979     96491638.74742678
4.14414414     4.44466454     2.34081176     98320678.88745123
4.15915916     4.49070792     2.38662312     100608091.28611118
4.17417417     4.53653697     2.44289988     103352208.20357269
4.18918919     4.58181708     2.50890767     106526627.57023832
4.20420420     4.62594362     2.58679863     110227497.90822932
4.21921922     4.66420071     2.67818058     114529001.00542404
4.23423423     4.69154995     2.77846952     119240569.15330985
4.24924925     4.71116073     2.88107172     124082290.43058944
4.26426426     4.73049499     2.98792610     129139020.60941577
4.27927928     4.75142068     3.10801187     134802151.83133432
4.29429429     4.76708155     3.25102872     141499900.82639989
4.30930931     4.76317654     3.42023384     149385000.38204697
4.32432432     4.72507525     3.60949571     158200668.20835236
4.33933934     4.64160989     3.80627322     167404488.48868239
4.35435435     4.50588672     3.99093686     176133575.18855989
4.36936937     4.32499024     4.13624388     183175937.31837192
4.38438438     4.12720620     4.22583233     187786517.90636620
4.39939940     3.94135887     4.26885234     190347882.34365568
4.41441441     3.77978640     4.28641830     191783471.83704895
4.42942943     3.63907728     4.30034200     193060891.65334660
4.44444444     3.49829464     4.32224668     194702064.35515940
4.45945946     3.33475931     4.33555737     195961467.59712806
4.47447447     3.15581762     4.30789125     195366587.86216408
4.48948949     2.99644134     4.22837862     192404113.36913705
4.50450450     2.88714947     4.11833772     188023662.70385677
4.51951952     2.83286797     4.01239964     183797658.74434209
4.53453453     2.81718225     3.93496381     180849362.32901859
4.54954955     2.82005927     3.89554782     179630659.67602488
4.56456457     2.82203257     3.89830197     180350918.33198935
4.57957958     2.79777213     3.94002286     182880700.76154351
4.59459460     2.72095823     3.99821611     186190272.57103637
4.60960961     2.58647429     4.02865037     188220641.77769563
4.62462463     2.42896437     3.99417110     187217602.11044258
4.63963964     2.29723802     3.89855838     183329273.49360257
4.65465465     2.21611602     3.77357850     178026387.11530459
4.66966967     2.18402282     3.64933305     172720221.38024110
4.68468468     2.18857498     3.54229502     168193271.69815642
4.69969970     2.21883282     3.45989787     164807477.99571991
4.71471472     2.26525461     3.40800140     162854104.66118246
4.72972973     2.31542038     3.39098220     162556881.82428733
4.74474475     2.35461026     3.40712316     163849157.11953476
4.75975976     2.37097815     3.44893749     166384889.19659239
4.77477478     2.35507353     3.50674185     169707178.38864022
4.78978979     2.29770556     3.56501289     173069717.29687193
4.80480480     2.19963370     3.59723148     175181265.75595260
4.81981982     2.08558326     3.58046257     174909527.36226273
4.83483483     1.98979483     3.52007506     172495230.59771934
4.84984985     1.92591138     3.44065014     169126761.40329891
4.86486487     1.88831507     3.35924921     165636685.23501506
4.87987988     1.87049221     3.28094384     162274938.55230510
4.89489490     1.87031333     3.20993223     159251217.09346682
4.90990991     1.88204288     3.15169523     156841599.90042460
4.92492493     1.89795158     3.10456061     154968448.13565883
4.93993994     1.91826298     3.06369564     153394861.68661967
4.95495495     1.94676903     3.03132215     152235286.56471425
4.96996997     1.98220890     3.01403038     151825568.51066658
4.98498498     2.01779682     3.01718772     152443780.50284258
5.00000000     2.04282402     3.04170995     154145669.27110955
5.01501502     2.04612205     3.08150331     156631246.00673750
5.03003003     2.02071699     3.12444349     159289363.89974889
5.04504505     1.96597358     3.15409074     161280832.81661770
5.06006006     1.89414818     3.15297535     161703631.46388131
5.07507507     1.82923684     3.11861800     160416182.71273598
5.09009009     1.78601677     3.06701103     158228361.92176646
5.10510510     1.76146045     3.01358940     155930938.20039216
5.12012012     1.74786206     2.96118759     153670178.57797733
5.13513513     1.74567823     2.90772694     151338359.45867056
5.15015015     1.75894308     2.85829149     149200381.25349736
5.16516517     1.78370797     2.82203645     147737368.22206506
5.18018018     1.80969054     2.80074556     147048990.30295515
5.19519520     1.83077650     2.78806907     146807730.15895361
5.21021021     1.84889182     2.77746640     146672125.46203715
5.22522522     1.86989109     2.76876798     146634142.49084267
5.24024024     1.89590429     2.76811492     147020819.73178020
5.25525525     1.92214001     2.78148456     148154208.85881487
5.27027027     1.94018615     2.80999613     150100498.21666405
5.28528528     1.94181597     2.84922590     152629626.73420706
5.30030030     1.92234308     2.89048681     155279810.80484945
5.31531532     1.88174056     2.92356486     157501716.49174681
5.33033033     1.82501025     2.93815910     158735095.79154497
5.34534535     1.76394789     2.92674458     158563826.34612519
5.36036036     1.71472109     2.89193289     157117920.86280456
5.37537537     1.68602979     2.84762536     155144067.78780824
5.39039039     1.67324666     2.80633960     153321821.22477180
5.40540540     1.66862272     2.77042285     151781156.37612331
5.42042042     1.66980603     2.73880135     150465534.01003399
5.43543543     1.67529751     2.71313300     149468250.21338853
5.45045045     1.68060112     2.69349514     148796295.16117284
5.46546547     1.68325037     2.67552806     148210915.63548619
5.48048048     1.68599905     2.65552596     147507027.95441529
5.49549550     1.69272783     2.63462817     146747162.89008763
5.51051051     1.70385607     2.61590614     146102456.36774564
5.52552553     1.71837125     2.60126705     145680711.81756842
5.54054054     1.73353270     2.59226835     145571253.02311239
5.55555556     1.74633982     2.58592283     145608450.52921149
5.57057057     1.76044436     2.57939985     145633697.31811509
5.58558559     1.77854676     2.57756499     145922365.39146188
5.60060060     1.79581900     2.58483574     146727351.38165930
5.61561562     1.80512580     2.59963121     147962834.17670190
5.63063063     1.80197415     2.61440154     149201385.03265285
5.64564565     1.78984258     2.61889171     149856188.75840998
5.66066066     1.78065636     2.60978485     149732250.56114197
5.67567568     1.78272800     2.59546300     149305545.49099058
5.69069069     1.79324728     2.58405385     149042479.35739309
5.70570571     1.80847470     2.57534160     148931902.24428970
5.72072072     1.83086007     2.56935541     148976735.92424101
5.73573574     1.86117550     2.57211295     149528059.09918189
5.75075075     1.89352067     2.58831365     150863775.87961048
5.76576577     1.92143995     2.61622767     152888935.19135049
5.78078078     1.94350977     2.65226074     155398292.50062373
5.79579580     1.95983007     2.69676603     158416301.53617081
5.81081081     1.96626038     2.75105961     162024340.19461870
5.82582583     1.95659902     2.81164274     166020286.17231989
5.84084084     1.92797841     2.87069589     169944097.60273126
5.85585586     1.88260563     2.91956127     173281219.97714978
5.87087087     1.82801802     2.95223038     175669472.81645477
5.88588589     1.77319271     2.96955673     177152379.68729222
5.90090090     1.72257675     2.97641859     178014694.87808016
5.91591592     1.67711038     2.97707008     178506722.63870984
5.93093093     1.63601919     2.97486061     178826967.88955146
5.94594595     1.59666688     2.97200552     179107632.97901204
5.96096096     1.55466116     2.96702679     179259124.54064876
5.97597598     1.50983905     2.95256629     178834796.72778699
5.99099099     1.47226153     2.92420481     177561980.20455888
6.00600601     1.45275128     2.89064646     175964178.35793003
6.02102102     1.44975051     2.86683009     174950675.38703880
6.03603604     1.45071114     2.86061981     175007028.69778964
6.05105105     1.44226185     2.86784711     175885620.92388779
6.06606607     1.41930527     2.87708046     176889750.46259001
6.08108108     1.38575843     2.87857228     177419543.99308938
6.09609610     1.34955213     2.86871536     177248590.04723600
6.11111111     1.31690962     2.84987272     176518069.63449705
6.12612613     1.28986947     2.82537342     175430586.30136231
6.14114114     1.26963147     2.79729226     174112699.00568160
6.15615616     1.25736280     2.76831443     172730316.98083580
6.17117117     1.25315820     2.74198080     171504502.77394632
6.18618619     1.25490327     2.72246428     170698106.47205213
6.20120120     1.25692463     2.71168593     170434980.59214047
6.21621622     1.25438341     2.70603391     170491555.35894611
6.23123123     1.24761788     2.70124112     170600674.69176617
6.24624625     1.23776704     2.69602806     170681729.83041456
6.26126126     1.22520464     2.68862054     170621935.01385444
6.27627628     1.21243546     2.67716662     170302483.12771189
6.29129129     1.20305174     2.66272628     169789114.91377309
6.30630631     1.19818170     2.64903790     169319414.83314961
6.32132132     1.19532795     2.63846560     169045194.33853424
6.33633634     1.19269641     2.62970696     168884231.87381354
6.35135135     1.19196948     2.62252797     168822292.15005884
6.36636637     1.19297509     2.62057569     169095426.36859870
6.38138138     1.19057205     2.62576878     169830116.17230618
6.39639640     1.17963608     2.63446524     170793511.57866830
6.41141141     1.15921883     2.64042959     171582014.58437675
6.42642643     1.13267186     2.63831514     171846121.99605057
6.44144144     1.10581660     2.62626337     171460807.77532750
6.45645646     1.08399256     2.60635527     170557713.88751853
6.47147147     1.06955318     2.58309893     169428944.86713433
6.48648649     1.06176979     2.56026360     168320776.30562180
6.50150150     1.05879742     2.54027746     167393406.52690575
6.51651652     1.05758468     2.52382257     166693185.61326748
6.53153153     1.05655966     2.50856789     166067409.81655031
6.54654655     1.05796755     2.49311604     165423909.08325759
6.56156156     1.06375508     2.48019262     164943856.42025599
6.57657658     1.07191919     2.47305088     164845257.90721104
6.59159159     1.07915836     2.47212923     165160042.77803460
6.60660661     1.08295866     2.47666960     165840289.12500444
6.62162162     1.08046508     2.48482589     166764593.34342006
6.63663664     1.07051272     2.49212818     167633935.99590436
6.65165165     1.05587433     2.49511187     168214350.94993708
6.66666667     1.03919664     2.49339628     168478145.69390252
6.68168168     1.02236034     2.48643166     168385943.24885350
6.69669670     1.00867248     2.47463613     167963728.03018498
6.71171171     1.00066409     2.46161501     167454549.47770113
6.72672673     0.99662546     2.45191178     167167616.69316590
6.74174174     0.99205572     2.44613698     167146162.51393184
6.75675676     0.98514388     2.44130127     167187262.38176027
6.77177177     0.97711959     2.43579913     167181150.13026109
6.78678679     0.96870047     2.42971238     167133149.82066908
6.80180180     0.96013455     2.42305654     167044063.51734233
6.81681682     0.95149664     2.41587703     166916770.67301285
6.83183183     0.94305094     2.40775747     166722199.66019732
6.84684685     0.93599943     2.39917022     166492701.79380673
6.86186186     0.92982860     2.39202422     166360826.63296655
6.87687688     0.92220339     2.38612605     166313749.99379301
6.89189189     0.91247933     2.37905410     166182887.18934953
6.90690691     0.90261234     2.36901132     165841899.55486155
6.92192192     0.89529417     2.35671506     165339758.55086771
6.93693694     0.89156603     2.34487214     164865748.51602501
6.95195195     0.88975952     2.33604155     164600386.08309326
6.96696697     0.88679942     2.33014042     164539196.20053172
6.98198198     0.88141331     2.32479222     164515337.62942761
6.99699700     0.87454050     2.31809228     164393988.92704582
7.01201201     0.86794699     2.30959282     164142709.39528209
7.02702703     0.86278808     2.30046396     163844015.31706744
7.04204204     0.85837072     2.29167899     163567088.07383561
7.05705706     0.85441694     2.28234297     163248072.05584922
7.07207207     0.85269271     2.27243213     162885011.83054525
7.08708709     0.85427486     2.26430175     162646828.05124944
7.10210210     0.85787181     2.26109563     162760632.22807860
7.11711712     0.85901603     2.26460407     163357817.51715976
7.13213213     0.85233478     2.27169544     164215070.71517318
7.14714715     0.83699467     2.27540310     164829368.19307020
7.16216216     0.81817519     2.27078904     164840705.19060597
7.17717718     0.80219379     2.25896405     164326086.78849915
7.19219219     0.79146153     2.24422269     163595275.54071766
7.20720721     0.78514434     2.22980560     162883666.04555586
7.22222222     0.78168314     2.21707530     162291142.04186702
7.23723724     0.77991489     2.20671295     161868438.65958646
7.25225225     0.77830140     2.19918514     161650934.34741491
7.26726727     0.77508262     2.19402631     161605630.71138117
7.28228228     0.76868079     2.18969313     161619697.90730163
7.29729730     0.75891079     2.18314288     161468468.16522849
7.31231231     0.74859601     2.17203185     160977228.96512794
7.32732733     0.74119394     2.15732923     160215875.03790167
7.34234234     0.73794837     2.14177759     159386864.10819012
7.35735736     0.73797279     2.12768217     158661709.95663932
7.37237237     0.73937071     2.11549231     158074654.05130842
7.38738739     0.74180111     2.10397780     157534454.37215462
7.40240240     0.74690191     2.09347584     157066717.73251778
7.41741742     0.75467303     2.08682644     156885417.13519323
7.43243243     0.76189991     2.08560426     157110930.50854883
7.44744745     0.76578918     2.08778920     157593253.00767177
7.46246246     0.76699698     2.09111400     158162453.77328837
7.47747748     0.76638236     2.09659252     158895892.85765854
7.49249249     0.76116052     2.10512625     159863011.14377272
7.50750751     0.74809021     2.11333535     160808025.36806130
7.52252252     0.72812254     2.11543961     161290078.81575027
7.53753754     0.70687164     2.10832907     161068795.36693960
7.55255255     0.68979170     2.09434577     160319247.25683641
7.56756757     0.67830550     2.07786817     159374128.32923621
7.58258258     0.67101515     2.06182626     158457478.85580131
7.59759760     0.66594737     2.04704948     157633367.77929842
7.61261261     0.66176643     2.03319152     156875652.21379575
7.62762763     0.65782040     2.01922536     156105355.17567235
7.64264264     0.65482426     2.00394086     155228685.50242126
7.65765766     0.65442833     1.98748341     154256326.50011379
7.67267267     0.65744946     1.97121528     153293681.41341591
7.68768769     0.66399793     1.95622846     152425921.52287042
7.70270270     0.67451205     1.94410806     151777383.44906315
7.71771772     0.68798396     1.93777283     151577687.66307309
7.73273273     0.70060601     1.93918159     151982996.83528468
7.74774775     0.70742796     1.94674484     152872029.39213774
7.76276276     0.70616775     1.95523456     153836257.15519732
7.77777778     0.69943163     1.95992052     154503213.10328296
7.79279279     0.69142890     1.96027535     154829508.00990963
7.80780781     0.68404585     1.95827734     154969716.19728789
7.82282282     0.67696943     1.95523436     155026463.90345889
7.83783784     0.67010590     1.95097660     154985781.97089499
7.85285285     0.66437256     1.94628096     154908952.91140923
7.86786787     0.65860850     1.94288161     154934066.97010374
7.88288288     0.65045044     1.93973216     154978112.24541911
7.89789790     0.64017092     1.93428641     154837382.76986250
7.91291291     0.62953624     1.92569823     154442969.28022331
7.92792793     0.61983357     1.91406022     153800878.67086110
7.94294294     0.61238025     1.89978690     152943088.41671395
7.95795796     0.60810834     1.88416874     151972483.56718227
7.97297297     0.60684370     1.86839549     150984591.36661363
7.98798799     0.60857282     1.85284978     150010320.82174966
8.00300300     0.61382643     1.83866116     149141397.03793809
8.01801802     0.62188257     1.82764688     148526122.66934723
8.03303303     0.63105652     1.82061987     148232132.39911464
8.04804805     0.63983213     1.81759480     148262444.92093301
8.06306306     0.64676880     1.81826245     148593615.98013240
8.07807808     0.65027483     1.82170835     149152460.24882039
