# omega(eV)     n     kappa     alpha(1/m)
0.91591592     3.29337925     0.01383116     128397.80271129
0.93093093     3.29757356     0.01428328     134768.69202977
0.94594595     3.30190402     0.01476035     141516.30069500
0.96096096     3.30637797     0.01526549     148682.57153383
0.97597598     3.31100360     0.01580245     156317.28580909
0.99099099     3.31579017     0.01637568     164479.83599064
1.00600601     3.32074810     0.01699060     173241.88922982
1.02102102     3.32588926     0.01765381     182690.78502691
1.03603604     3.33122719     0.01837345     192934.15971292
1.05105105     3.33677746     0.01915973     204106.39743368
1.06606607     3.34255806     0.02002555     216377.52136349
1.08108108     3.34858984     0.02098756     229966.09129292
1.09609610     3.35489709     0.02206751     245157.68924016
1.11111111     3.36150807     0.02329438     262332.52272696
1.12612613     3.36845555     0.02470754     282007.08163894
1.14114114     3.37577687     0.02636164     304898.53619919
1.15615616     3.38351291     0.02833424     332025.55814944
1.17117117     3.39170405     0.03073773     364867.96836192
1.18618619     3.40037877     0.03373792     405615.58078006
1.20120120     3.40952420     0.03758031     457530.02814273
1.21621622     3.41901530     0.04261786     525346.58003418
1.23123123     3.42845975     0.04929688     615180.47978946
1.24624625     3.43694023     0.05794200     731881.70697090
1.26126126     3.44295452     0.06802007     869532.20308265
1.27627628     3.44566775     0.07722640     998973.61971911
1.29129129     3.44721293     0.08311462     1087790.33693470
1.30630631     3.45087001     0.08672461     1148235.26961873
1.32132132     3.45709426     0.09083311     1216455.26016300
1.33633634     3.46487229     0.09704068     1314356.34122278
1.35135135     3.47263442     0.10680099     1462807.12577004
1.36636637     3.47678199     0.12031544     1666218.86827884
1.38138138     3.47389327     0.13336894     1867290.24627476
1.39639640     3.46671168     0.13931196     1971699.09191145
1.41141141     3.46328982     0.13803197     1974589.56938096
1.42642643     3.46644104     0.13642645     1972384.08482346
1.44144144     3.47194210     0.13858724     2024714.40048186
1.45645646     3.47606581     0.14274227     2107141.22376411
1.47147147     3.47922899     0.14647386     2184517.34650877
1.48648649     3.48244873     0.14961578     2254145.28288781
1.50150150     3.48621617     0.15212400     2315085.44832541
1.51651652     3.49124065     0.15443583     2373770.58127741
1.53153153     3.49783737     0.15738513     2443054.62023905
1.54654655     3.50602226     0.16235216     2544864.12312502
1.56156156     3.51411784     0.17130347     2711245.19291153
1.57657658     3.51803912     0.18387802     2938247.78234727
1.59159159     3.51547964     0.19526817     3149971.47042994
1.60660661     3.50977932     0.20047237     3264431.87219961
1.62162162     3.50738839     0.19996315     3286571.03757915
1.63663664     3.51052759     0.20013860     3319912.62743393
1.65165165     3.51373549     0.20499230     3431622.69911669
1.66666667     3.51188963     0.21037801     3553796.96600930
1.68168168     3.50711271     0.21074650     3592093.93141214
1.69669670     3.50374356     0.20511539     3527329.11938021
1.71171171     3.50579494     0.19444898     3373493.07264176
1.72672673     3.51652788     0.18338075     3209378.07979681
1.74174174     3.53387560     0.17751437     3133724.43149855
1.75675676     3.55354394     0.17807605     3170740.38424286
1.77177177     3.57383164     0.18436849     3310838.49953524
1.78678679     3.59333325     0.19773522     3580966.75442062
1.80180180     3.60735970     0.21872567     3994388.47047157
1.81681682     3.61093021     0.24287339     4472337.89978076
1.83183183     3.60440252     0.26262805     4876073.38987642
1.84684685     3.59345983     0.27415398     5131791.11271886
1.86186186     3.58227469     0.27862129     5257814.66286523
1.87687688     3.57275487     0.27696949     5268794.33472090
1.89189189     3.56658478     0.27068189     5190378.61619513
1.90690691     3.56430160     0.26014480     5027917.73872573
1.92192192     3.56958958     0.24596910     4791371.13614257
1.93693694     3.58488510     0.23452740     4604183.11547951
1.95195195     3.60529664     0.23206103     4591079.97512669
1.96696697     3.62328745     0.23830183     4750813.31808371
1.98198198     3.63460423     0.24805300     4982963.64315678
1.99699700     3.63988557     0.25501468     5161621.06121392
2.01201201     3.64462838     0.25525307     5205291.75060279
2.02702703     3.65570290     0.25127265     5162359.89262919
2.04204204     3.67482959     0.25015804     5177530.58509671
2.05705706     3.69790200     0.25734148     5365369.69702082
2.07207207     3.71875269     0.27385152     5751267.15624102
2.08708709     3.73207694     0.29690254     6280554.81566035
2.10210210     3.73529676     0.32106226     6840480.28412494
2.11711712     3.72948960     0.34066451     7309964.97034338
2.13213213     3.71856266     0.35174444     7601247.61145721
2.14714715     3.70756455     0.35336515     7690047.90280993
2.16216216     3.70071448     0.34693016     7602804.85821235
2.17717718     3.70119072     0.33532095     7399425.19731657
2.19219219     3.71058672     0.32302652     7177287.28086447
2.20720721     3.72687677     0.31521649     7051728.09916490
2.22222222     3.74431497     0.31320447     7054381.88103691
2.23723724     3.75975444     0.31238845     7083542.93900733
2.25225225     3.77677834     0.30869384     7046744.27614731
2.26726727     3.80107940     0.30438967     6994813.82401853
2.28228228     3.83356550     0.30670317     7094652.94428807
2.29729730     3.86837864     0.32089144     7471690.35809345
2.31231231     3.89845760     0.34608897     8111063.09001901
2.32732733     3.91980620     0.37896093     8939133.72561925
2.34234234     3.92866730     0.41585470     9872690.28282634
2.35735736     3.92232953     0.44913231     10731075.39401408
2.37237237     3.90442206     0.46893924     11275685.55907482
2.38738739     3.88586295     0.46951927     11361085.83149858
2.40240240     3.87946799     0.45494123     11077571.76185389
2.41741742     3.89064618     0.43739796     10716967.91734035
2.43243243     3.91359661     0.42719547     10532002.46915298
2.44744745     3.93959372     0.42421402     10523056.87839949
2.46246246     3.96770165     0.42333285     10565623.22087242
2.47747748     4.00216396     0.42485610     10668297.13615325
2.49249249     4.04381620     0.43431130     10971815.86318227
2.50750751     4.08825736     0.45658420     11603971.28162484
2.52252252     4.12825728     0.49304132     12605552.83257482
2.53753754     4.15569306     0.54017232     13892753.31383513
2.55255255     4.16551241     0.58817675     15216895.93682005
2.56756757     4.16176787     0.62487687     16261471.91600045
2.58258258     4.15650869     0.64479351     16877899.55345998
2.59759760     4.16200955     0.65220419     17171134.15119811
2.61261261     4.18400263     0.65922542     17456311.78125437
2.62762763     4.21623271     0.67691059     18027630.82418819
2.64264264     4.24976454     0.70486808     18879470.44376952
2.65765766     4.28416380     0.74006047     19934703.10128299
2.67267267     4.31909524     0.78549483     21278089.40472386
2.68768769     4.34948655     0.84218778     22941999.25570353
2.70270270     4.37241447     0.90788782     24869897.12434269
2.71771772     4.38587903     0.98192860     27047540.57746771
2.73273273     4.38573551     1.06274249     29435317.79133400
2.74774775     4.36841468     1.14512053     31891253.19009183
2.76276276     4.33416181     1.22287510     34242796.19362442
2.77777778     4.28396292     1.29121691     36352997.83038843
2.79279279     4.22014052     1.34229605     37995359.07458486
2.80780781     4.15370909     1.36876062     38952775.17989450
2.82282282     4.10062456     1.37527126     39347352.24744709
2.83783784     4.06691675     1.37822790     39641687.81317789
2.85285285     4.04329289     1.39086469     40216824.60080835
2.86786787     4.01605551     1.41328940     41080314.90691566
2.88288288     3.97733335     1.43640091     41970698.30125106
2.89789790     3.92905565     1.44793327     42528018.80975948
2.91291291     3.88291971     1.44177475     42566548.93416932
2.92792793     3.85113664     1.42331857     42238260.44153312
2.94294294     3.83729913     1.40522545     41915183.83876754
2.95795796     3.83477651     1.39611899     41856022.67267838
2.97297297     3.83854339     1.39724718     42102484.77895262
2.98798799     3.84482987     1.41347165     42806475.79683758
3.00300300     3.84076752     1.44702521     44042847.37664457
3.01801802     3.81389119     1.48625257     45462987.78252236
3.03303303     3.76567598     1.51254393     46497399.16778263
3.04804805     3.71146909     1.51652761     46850653.68506739
3.06306306     3.66303789     1.50348741     46676604.87280289
3.07807808     3.62313134     1.47747390     46093849.06260733
3.09309309     3.59822962     1.44027848     45152623.35951906
3.10810811     3.59463701     1.40216615     44171192.14444942
3.12312312     3.60794311     1.37577736     43549260.86861278
3.13813814     3.62792309     1.36594154     43445789.68214908
3.15315315     3.64605393     1.37176290     43839706.99549475
3.16816817     3.65542964     1.38943699     44615997.62153997
3.18318318     3.65213922     1.41218430     45561345.00042780
3.19819820     3.63655243     1.43299828     46450946.54732465
3.21321321     3.61188131     1.44690696     47121995.66387312
3.22822823     3.58211182     1.45105013     47477754.71665730
3.24324324     3.55208659     1.44391931     47464178.73016844
3.25825826     3.52717638     1.42644944     47106996.27630264
3.27327327     3.51200761     1.40246028     46528211.63037752
3.28828829     3.50793962     1.37840455     45939906.86368241
3.30330330     3.51118416     1.35969700     45523339.71639221
3.31831832     3.51616584     1.34594503     45267748.46858721
3.33333333     3.52233259     1.33386761     45064545.83186281
3.34834835     3.53118588     1.32373340     44923614.07102630
3.36336336     3.54238724     1.31634082     44873057.58484294
3.37837838     3.55669070     1.31233356     44936169.44639531
3.39339339     3.57395114     1.31546187     45243479.53181296
3.40840841     3.58891548     1.32941887     45925827.78553364
3.42342342     3.59292996     1.35229295     46921828.34369352
3.43843844     3.58079204     1.37434877     47896274.63383523
3.45345345     3.55711107     1.38536054     48490866.48400857
3.46846847     3.52979059     1.38243121     48598717.37886215
3.48348348     3.50474234     1.36506983     48196127.84645478
3.49849850     3.48948073     1.33464388     47324999.26914937
3.51351351     3.49062792     1.29778241     46215434.11018527
3.52852853     3.50953708     1.26516483     45246424.97519437
3.54354354     3.53884797     1.24619835     44757773.03414326
3.55855856     3.56709789     1.24082911     44753768.89530236
3.57357357     3.58904572     1.24143262     44964462.34554681
3.58858859     3.60716585     1.24203253     45175208.78644477
3.60360360     3.62581724     1.24199362     45362805.18663736
3.61861862     3.64724939     1.24481125     45655157.18445958
3.63363363     3.66805851     1.25469004     46208419.26476161
3.64864865     3.68213440     1.26993530     46963144.23968916
3.66366366     3.68721628     1.28521626     47723834.96478685
3.67867868     3.68370559     1.29523856     48293107.03110143
3.69369369     3.67502566     1.29380375     48436506.20298917
3.70870871     3.67067940     1.27755093     48022467.44073982
3.72372372     3.68088118     1.25324259     47299453.42846666
3.73873874     3.70528933     1.23274912     46713600.85150229
3.75375375     3.73618096     1.22075560     46444899.88253112
3.76876877     3.76796132     1.21535552     46424406.13480421
3.78378378     3.79925940     1.21259146     46503361.10268947
3.79879880     3.83274485     1.21072742     46616127.71597711
3.81381381     3.87020990     1.21237377     46864020.56198376
3.82882883     3.90907815     1.22083720     47376964.49305656
3.84384384     3.94378406     1.23509594     48118264.33272655
3.85885886     3.97182059     1.24827914     48821838.99794406
3.87387387     3.99899339     1.25370269     49224754.43405389
3.88888889     4.03393712     1.25315859     49394102.30869433
3.90390390     4.08019898     1.25242502     49555787.21789186
3.91891892     4.13886104     1.25764538     49953739.40720418
3.93393393     4.20666376     1.27576737     50867697.06981020
3.94894895     4.27667564     1.30894911     52389928.48248556
3.96396396     4.34522995     1.35509219     54443002.08718485
3.97897898     4.41129837     1.41508592     57068699.90307342
3.99399399     4.46883559     1.49059737     60340830.63058913
4.00900901     4.51147810     1.57615983     64044348.57242026
4.02402402     4.53970129     1.66575875     67938537.31693575
4.03903904     4.55320321     1.75798060     71967373.70062406
4.05405405     4.54835497     1.84710183     75896875.70412421
4.06906907     4.52910552     1.92241194     79283906.76223120
4.08408408     4.50785418     1.98078955     81992954.45049399
4.09909910     4.49277519     2.02972918     84327657.88407741
4.11411411     4.48214237     2.07659088     86590610.33254956
4.12912913     4.47227083     2.12089827     88760926.55758424
4.14414414     4.46623769     2.16045684     90745264.94914927
4.15915916     4.46820647     2.20025379     92751692.65441589
4.17417417     4.47460722     2.24706930     95067168.35855649
4.18918919     4.47829321     2.30083378     97691942.45589066
4.20420420     4.47627520     2.35645762     100412310.43352458
4.21921922     4.47081713     2.40967694     103046782.79493876
4.23423423     4.46547358     2.46064800     105600967.00980644
4.24924925     4.46056600     2.51084704     108137416.27985357
4.26426426     4.45589451     2.55916248     110607734.05960523
4.27927928     4.45397291     2.60303849     112900209.21462598
4.29429429     4.46284784     2.64208880     114996001.28181919
4.30930931     4.49162976     2.68683160     117352309.49800403
4.32432432     4.53652153     2.75469056     120735394.20617634
4.33933934     4.58166063     2.85413499     125528300.62197222
4.35435435     4.61368043     2.98144937     131581469.67898588
4.36936937     4.62578620     3.13236629     138718641.25374627
4.38438438     4.61019144     3.30325923     146789436.81396329
4.39939940     4.55885305     3.48828489     155542424.05337387
4.41441441     4.46166487     3.67822272     164571508.14737341
4.42942943     4.31001333     3.85328465     172990559.99564746
4.44444444     4.11031147     3.98404773     179467386.91856849
4.45945946     3.89251690     4.04908003     183013069.86286294
4.47447447     3.69538991     4.05592379     183939645.96097034
4.48948949     3.53673917     4.03750079     183718590.47195032
4.50450450     3.40131451     4.02236530     183642019.44203106
4.51951952     3.26135555     4.00750141     183573283.40018281
4.53453453     3.11522812     3.96461333     182212042.13486835
4.54954955     2.99472103     3.88477411     179133864.53732172
4.56456457     2.92256532     3.79504284     175573741.13100189
4.57957958     2.89124271     3.72819662     173048541.75946206
4.59459460     2.87413030     3.70179717     172386535.87444270
4.60960961     2.84042740     3.71158908     173407373.21845850
4.62462463     2.76898941     3.73520360     175079095.00192809
4.63963964     2.65715339     3.73904553     175828199.50817192
4.65465465     2.53020318     3.69446242     174293921.96895939
4.66966967     2.42744968     3.60321562     170537517.35213071
4.68468468     2.36985352     3.49355840     165879186.68458760
4.69969970     2.35291503     3.39275026     161608993.88088542
4.71471472     2.36206796     3.31449641     158385892.92341250
4.72972973     2.38299824     3.26271917     156408209.77043590
4.74474475     2.40429164     3.23551593     155596535.11510634
4.75975976     2.41797381     3.22953622     155800453.86126965
4.77477478     2.41443320     3.24029840     156812768.57864875
4.78978979     2.38458964     3.25429734     157985493.44115296
4.80480480     2.33258595     3.25117537     158328708.79235223
4.81981982     2.27850992     3.22005618     157303279.87341258
4.83483483     2.24270998     3.16998703     155339768.18830624
4.84984985     2.22964309     3.11967882     153349266.71599206
4.86486487     2.23014082     3.08111378     151922480.71597171
4.87987988     2.23314773     3.05457853     151078948.03226173
4.89489490     2.23482506     3.03402512     150524110.08653098
4.90990991     2.23846637     3.01732378     150154711.92197675
4.92492493     2.24442503     3.00920038     150208409.69237575
4.93993994     2.24624646     3.01172121     150792576.67646518
4.95495495     2.23874411     3.02087515     151710630.03511536
4.96996997     2.22031804     3.03195186     152728325.77143422
4.98498498     2.19018051     3.04066276     153629859.93926233
5.00000000     2.14800649     3.04056464     154087628.27941409
5.01501502     2.09959359     3.02237538     153625802.97001049
5.03003003     2.05934127     2.98418755     152138880.78150746
5.04504505     2.03726688     2.93639318     150149116.37823930
5.06006006     2.03276845     2.88977522     148205137.98173580
5.07507507     2.04238419     2.85040141     146619596.53934735
5.09009009     2.06189675     2.82278475     145628627.52315146
5.10510510     2.08604267     2.80949617     145370625.10511672
5.12012012     2.10887964     2.81138194     145896047.49362707
5.13513513     2.12472061     2.82621906     147096121.79463083
5.15015015     2.13010706     2.85087206     148813093.28277633
5.16516517     2.12161472     2.88176557     150864267.01243100
5.18018018     2.09734826     2.91357215     152972783.18384326
5.19519520     2.05708528     2.94155652     154889719.53442147
5.21021021     1.99984649     2.96005632     156314312.92868248
5.22522522     1.92738920     2.95893971     156705650.18905893
5.24024024     1.85115780     2.92803041     155514291.51098150
5.25525525     1.78928012     2.86833237     152780108.61172801
5.27027027     1.75373559     2.79267536     149175281.41932401
5.28528528     1.74573818     2.71600564     145493176.89490065
5.30030030     1.75921746     2.64912965     142313865.65648612
5.31531532     1.78518164     2.59631962     139871977.28369936
5.33033033     1.81745352     2.55592387     138084700.84535143
5.34534535     1.85476008     2.52688266     136900290.67150152
5.36036036     1.89489003     2.51127222     136436730.63211253
5.37537537     1.93286163     2.50958609     136727042.86151966
5.39039039     1.96454059     2.51940339     137645321.43117312
5.40540540     1.98773925     2.53811899     139054092.34527585
5.42042042     2.00005816     2.56355502     140837770.12134945
5.43543543     1.99873290     2.59211101     142801070.71480486
5.45045045     1.98198532     2.61819575     144636543.67724115
5.46546547     1.95077902     2.63440811     145933075.23115551
5.48048048     1.91022504     2.63372928     146296283.12639409
5.49549550     1.86889343     2.61157146     145462918.44875279
5.51051051     1.83861177     2.56777002     143413978.44844136
5.52552553     1.83082682     2.51047941     140596263.45934820
5.54054054     1.84890752     2.45345839     137776249.76316023
5.55555556     1.88818886     2.40776999     135576999.40599409
5.57057057     1.94087618     2.37986437     134367864.10416245
5.58558559     1.99761647     2.37096972     134226492.98829159
5.60060060     2.05284261     2.37666702     134910722.20221886
5.61561562     2.10708983     2.39453612     136289466.23290130
5.63063063     2.15914024     2.42741548     138530270.32097158
5.64564565     2.20218546     2.47616103     141688964.26365128
5.66066066     2.23047410     2.53472537     145425832.44646356
5.67567568     2.24579745     2.59651888     149366285.52007145
5.69069069     2.25110755     2.66188159     153531410.03454831
5.70570571     2.24350981     2.73196932     157989677.15904269
5.72072072     2.21891099     2.80340741     162547572.63756523
5.73573574     2.17506586     2.87004145     166847931.98855492
5.75075075     2.11325424     2.92305141     170374472.53634158
5.76576577     2.04153569     2.95503178     172688205.77919078
5.78078078     1.97044929     2.96577008     173767080.98832393
5.79579580     1.90716392     2.95955148     173853124.20976162
5.81081081     1.85649171     2.94211980     173276877.67891490
5.82582583     1.81984810     2.92122364     172490756.99638101
5.84084084     1.79414980     2.90307712     171861054.06025296
5.85585586     1.77485277     2.89074631     171571000.57890147
5.87087087     1.75688173     2.88483168     171658981.79484463
5.88588589     1.73627223     2.88249554     171958642.15101051
5.90090090     1.71259721     2.88029362     172265619.16506657
5.91591592     1.68621207     2.87594820     172443400.28029430
5.93093093     1.65936877     2.86612185     172290385.28350338
5.94594595     1.63843247     2.85151416     171846232.53574061
5.96096096     1.62535900     2.83991032     171579117.31239191
5.97597598     1.61326883     2.83616149     171784242.52017415
5.99099099     1.59561305     2.83648365     172235423.42668521
6.00600601     1.57221652     2.83506182     172580539.10046473
6.02102102     1.54571084     2.82901437     172642939.90920812
6.03603604     1.51863734     2.81678292     172325175.11977136
6.05105105     1.49539518     2.79752561     171572790.14820048
6.06606607     1.48110731     2.77517412     170624306.14439407
6.08108108     1.47549797     2.75720958     169939406.70443884
6.09609610     1.47201826     2.74780169     169777727.39945671
6.11111111     1.46396014     2.74365153     169938842.45190841
6.12612613     1.45113046     2.73825205     170021123.55886805
6.14114114     1.43818761     2.72899608     169861719.16742042
6.15615616     1.42894063     2.71832029     169610908.06311119
6.17117117     1.42310526     2.71015761     169514036.85466304
6.18618619     1.41785427     2.70593637     169661808.60620463
6.20120120     1.41148999     2.70484145     170004791.39851058
6.21621622     1.40343945     2.70704762     170555423.37752163
6.23123123     1.39065889     2.71290124     171337085.96592307
6.24624625     1.36978652     2.71818185     172084254.98583347
6.26126126     1.34287749     2.71694557     172419463.42047548
6.27627628     1.31537283     2.70722637     172214672.69563675
6.29129129     1.29175614     2.69085647     171582840.12476036
6.30630631     1.27396313     2.67155995     170758964.04303584
6.32132132     1.26082425     2.65221206     169925923.18919814
6.33633634     1.25122542     2.63306641     169099981.74757394
6.35135135     1.24575589     2.61464039     168314538.14041740
6.36636637     1.24455134     2.59887731     167695315.36378387
6.38138138     1.24612338     2.58800232     167387448.08328703
6.39639640     1.24733907     2.58281846     167445228.72195318
6.41141141     1.24545546     2.58169029     167764980.91149378
6.42642643     1.23972359     2.58199823     168177930.91319588
6.44144144     1.23119613     2.58206638     168575319.48954096
6.45645646     1.22057413     2.58185400     168954371.20372841
6.47147147     1.20762100     2.58086900     169282680.86974168
6.48648649     1.19268670     2.57812835     169495267.85912818
6.50150150     1.17671504     2.57280939     169537121.02194422
6.51651652     1.16130840     2.56502245     169414350.78787526
6.53153153     1.14698397     2.55615130     169217435.65597507
6.54654655     1.13279702     2.54665081     168976062.56261069
6.56156156     1.11827600     2.53538290     168614255.81652555
6.57657658     1.10503564     2.52075206     168024858.52768490
6.59159159     1.09682877     2.50391882     167283867.92442343
6.60660661     1.09447216     2.49063145     166775188.61142334
6.62162162     1.09160754     2.48440335     166736235.11268452
6.63663664     1.08266660     2.47998135     166816874.64572340
6.65165165     1.07068102     2.47110124     166595612.90010297
6.66666667     1.06142144     2.45835891     166110679.87904948
6.68168168     1.05624865     2.44641548     165675970.49069175
6.69669670     1.05171173     2.43775763     165460632.18517464
6.71171171     1.04494095     2.42996360     165301421.24101424
6.72672673     1.03751846     2.41999484     164991568.49253729
6.74174174     1.03294589     2.40857094     164579250.29226846
6.75675676     1.03161553     2.39980570     164345528.24484754
6.77177177     1.02930162     2.39541893     164409654.01417059
6.78678679     1.02312666     2.39187280     164530270.15493995
6.80180180     1.01554649     2.38560814     164462393.53608602
6.81681682     1.01051846     2.37814734     164309966.98915899
6.83183183     1.00736710     2.37383940     164373584.76757866
6.84684685     1.00171710     2.37323928     164693199.26967302
6.86186186     0.99152183     2.37316004     165048857.45106333
6.87687688     0.97745602     2.37077986     165244115.72434998
6.89189189     0.96163890     2.36433879     165154985.74746788
6.90690691     0.94650141     2.35443370     164821397.83778548
6.92192192     0.93213493     2.34243482     164337901.33953777
6.93693694     0.91806623     2.32768375     163657249.07058313
6.95195195     0.90558019     2.30895540     162691862.86194810
6.96696697     0.89725616     2.28603414     161424700.33610386
6.98198198     0.89656647     2.26083109     159989089.01202261
6.99699700     0.90517675     2.23881444     158771779.22043166
7.01201201     0.91928915     2.22563735     158175996.19908977
7.02702703     0.93234192     2.22149858     158219930.83117950
7.04204204     0.94174860     2.22248145     158628158.69078836
7.05705706     0.94858411     2.22731782     159312314.46094814
7.07207207     0.95133943     2.23744576     160377233.99470168
7.08708709     0.94562646     2.25115752     161702665.86932030
7.10210210     0.92971752     2.26253270     162864076.95216370
7.11711712     0.90695726     2.26605267     163462312.47369778
7.13213213     0.88310699     2.26018787     163383218.21456173
7.14714715     0.86260585     2.24723664     162789000.44391918
7.16216216     0.84681300     2.23057787     161921703.19226858
7.17717718     0.83529616     2.21234239     160934640.19479930
7.19219219     0.82765873     2.19363586     159907688.91036996
7.20720721     0.82351175     2.17575292     158935205.53910202
7.22222222     0.82127025     2.15957109     158081801.78889313
7.23723724     0.81963392     2.14384062     157256581.12213364
7.25225225     0.81971897     2.12712576     156354214.94559771
7.26726727     0.82361633     2.10993144     155411446.50014865
7.28228228     0.83276229     2.09450846     154594184.76153633
7.29729730     0.84692783     2.08433420     154160432.72386259
7.31231231     0.86327651     2.08269333     154356024.17620626
7.32732733     0.87696857     2.09092556     155284350.63772893
7.34234234     0.88209690     2.10719585     156813359.06882784
7.35735736     0.87469702     2.12509536     158468811.22497278
7.37237237     0.85668838     2.13699942     159681716.57865751
7.38738739     0.83409696     2.13924328     160174941.89838353
7.40240240     0.81260102     2.13283113     160019417.66857848
7.41741742     0.79508309     2.12118131     159468180.17970130
7.43243243     0.78133082     2.10749989     158760353.06197762
7.44744745     0.76984622     2.09256313     157953605.19632304
7.46246246     0.76085478     2.07588386     157010514.83046281
7.47747748     0.75510931     2.05831431     155994875.86541045
7.49249249     0.75255061     2.04062427     154964738.84328842
7.50750751     0.75359295     2.02373783     153990365.90728930
7.52252252     0.75738803     2.00939998     153205168.33973640
7.53753754     0.76210799     1.99732673     152588613.91725424
7.55255255     0.76828079     1.98646372     152061026.94378462
7.56756757     0.77691510     1.97816066     151726483.91739622
7.58258258     0.78691846     1.97443272     151741025.16180027
7.59759760     0.79592638     1.97605546     152166461.91487753
7.61261261     0.80160593     1.98244359     152960077.43119383
7.62762763     0.80180673     1.99228643     154022718.91802937
7.64264264     0.79467265     2.00260558     155125252.21669766
7.65765766     0.78099262     2.00932527     155951558.51480407
7.67267267     0.76380100     2.01025852     156329920.60196137
7.68768769     0.74589534     2.00527229     156247332.19951862
7.70270270     0.72953936     1.99489282     155742172.66091332
7.71771772     0.71688674     1.98091941     154952726.37532946
7.73273273     0.70780598     1.96628139     154106939.08841780
7.74774775     0.70015378     1.95163726     153256215.94350961
7.76276276     0.69346549     1.93539888     152275601.87216842
7.77777778     0.68941672     1.91677472     151101971.05995274
7.79279279     0.69009264     1.89676937     149813580.10379165
7.80780781     0.69671461     1.87802255     148618694.79903421
7.82282282     0.70851251     1.86392829     147786995.36572069
7.83783784     0.72246134     1.85710829     147528874.00190687
7.85285285     0.73401229     1.85770091     147858664.50355804
7.86786787     0.73968967     1.86259753     148531855.07276827
7.88288288     0.73911794     1.86755688     149211548.13358346
7.89789790     0.73463983     1.86975255     149671521.81679806
7.91291291     0.72895345     1.86920680     149912299.06551054
7.92792793     0.72289763     1.86707576     150025526.78396279
7.94294294     0.71638130     1.86380179     150046093.50111917
7.95795796     0.70933717     1.85954659     149986520.50429437
7.97297297     0.70122527     1.85424150     149840810.56644124
7.98798799     0.69164249     1.84659769     149504138.91326135
8.00300300     0.68197341     1.83485295     148832497.81122664
8.01801802     0.67515429     1.81913714     147834567.51603687
8.03303303     0.67269283     1.80211140     146725200.99558020
8.04804805     0.67324340     1.78563047     145655092.65097183
8.06306306     0.67612992     1.76902916     144570130.25426888
8.07807808     0.68269304     1.75274374     143505979.36869168
8.09309309     0.69279258     1.73897331     142643168.71092013
