# omega(eV)     n     kappa     alpha(1/m)
2.46246246     3.66814926     1.65769167     41372989.08482027
2.47747748     3.62855969     1.67631373     42092870.58449171
2.49249249     3.58218473     1.67017676     42192943.23114449
2.50750751     3.54715812     1.64205466     41732401.57511511
2.52252252     3.53147272     1.60627245     41067454.82911853
2.53753754     3.53072424     1.57444644     40493367.18089534
2.55255255     3.53722648     1.55052538     40114103.98753965
2.56756757     3.54411756     1.53279944     39888778.82909855
2.58258258     3.54947465     1.51532687     39664690.13697615
2.59759760     3.55732945     1.49454031     39348033.41677988
2.61261261     3.57265861     1.47208589     38980885.04957029
2.62762763     3.59730960     1.45318356     38701502.09596165
2.64264264     3.62882702     1.44285447     38645995.02393355
2.65765766     3.66259021     1.44298708     38869146.68736542
2.67267267     3.69506081     1.45345955     39372432.50417968
2.68768769     3.72216704     1.47404175     40154304.99840635
2.70270270     3.73900177     1.50144620     41129324.49576460
2.71771772     3.74397890     1.52972911     42136882.52230423
2.73273273     3.73784337     1.55420322     43047554.86133200
2.74774775     3.72204533     1.56889374     43693206.52490027
2.76276276     3.70388128     1.56753273     43893856.32635637
2.77777778     3.69497693     1.55134627     43676695.38314398
2.79279279     3.70264555     1.53003742     43309611.91452230
2.80780781     3.72448241     1.51490269     43111748.74636850
2.82282282     3.75211010     1.50978990     43196012.83418403
2.83783784     3.78088661     1.51213690     43493285.16251830
2.85285285     3.81001140     1.52060977     43968401.05252419
2.86786787     3.83792838     1.53464859     44607882.58866949
2.88288288     3.86417482     1.55253194     45363971.45197196
2.89789790     3.88947040     1.57398376     46230314.86811730
2.91291291     3.91408143     1.59955517     47224813.35325243
2.92792793     3.93762204     1.63142198     48413916.53564809
2.94294294     3.95574524     1.67156901     49859702.09094962
2.95795796     3.96241575     1.71685958     51471911.64637487
2.97297297     3.95552995     1.75938399     53014555.07467227
2.98798799     3.93987009     1.79196617     54269045.15007631
3.00300300     3.92270213     1.81323911     55189234.47294526
3.01801802     3.90945032     1.82548756     55839848.54781600
3.03303303     3.90312585     1.83315428     56353342.66790665
3.04804805     3.90328229     1.84003459     56844875.68409298
3.06306306     3.91039910     1.84827593     57380756.83404279
3.07807808     3.92362386     1.86384634     58147796.64483202
3.09309309     3.93480818     1.88998784     59250978.47329295
3.10810811     3.93728289     1.92110593     60518890.14145231
3.12312312     3.93168309     1.95095378     61756064.28009704
3.13813814     3.91973904     1.97693929     62879476.15788980
3.15315315     3.90261956     1.99529947     63767101.58441861
3.16816817     3.88651224     2.00196749     64284870.47794621
3.18318318     3.88045687     2.00095994     64557031.37391827
3.19819820     3.88470565     2.00249305     64911241.62505277
3.21321321     3.89142772     2.00919067     65434113.32943442
3.22822823     3.89864357     2.01577003     65955154.26067857
3.24324324     3.91162250     2.02118476     66439913.96675682
3.25825826     3.93321317     2.03219647     67111156.37611651
3.27327327     3.95711417     2.05578447     68202983.20059375
3.28828829     3.97331657     2.08984260     69650941.11290491
3.30330330     3.97817129     2.12527264     71155197.27379309
3.31831832     3.97636335     2.15506966     72480784.24928664
3.33333333     3.97390946     2.17926379     73626146.95772059
3.34834835     3.97259136     2.19985940     74656750.59967223
3.36336336     3.97461917     2.21722674     75583573.78217015
3.37837838     3.98239632     2.23633136     76575169.85076520
3.39339339     3.98928626     2.26206924     77800722.49851893
3.40840841     3.98805959     2.28663690     78993682.73322207
3.42342342     3.98611662     2.30000234     79805426.22063409
3.43843844     3.99538375     2.30595205     80362798.50186276
3.45345345     4.01813803     2.31447550     81012068.35235767
3.46846847     4.05061990     2.33243280     81995575.20526868
3.48348348     4.08634746     2.36258897     83415249.51352374
3.49849850     4.12056793     2.40262134     85194301.68900737
3.51351351     4.15229863     2.45087708     87278381.56538649
3.52852853     4.17897627     2.50663743     89645538.33639167
3.54354354     4.19906361     2.56582141     92152627.53431991
3.55855856     4.21505635     2.62563704     94700513.11759454
3.57357357     4.22864358     2.68557549     97271053.09874713
3.58858859     4.24298028     2.74413924     99809835.98771654
3.60360360     4.26323852     2.80468408     102438801.03969698
3.61861862     4.28950527     2.87304484     105372854.20127092
3.63363363     4.32128328     2.95299972     108754708.33967778
3.64864865     4.35744632     3.05198810     112864771.22602354
3.66366366     4.38993794     3.17831425     118020094.34911524
3.67867868     4.40502984     3.33526839     124355834.92114539
3.69369369     4.38721755     3.51841894     131720070.00340201
3.70870871     4.32332670     3.71670942     139709152.63299870
3.72372372     4.20218335     3.91224190     147654496.54982129
3.73873874     4.02191606     4.07600224     154455386.06843111
3.75375375     3.80251156     4.17674186     158908430.79277596
3.76876877     3.58692314     4.20227912     160519542.66489238
3.78378378     3.41631894     4.17919218     160273669.02974150
3.79879880     3.29367039     4.15413286     159944827.37587175
3.81381381     3.18728461     4.15259099     160517419.69966766
3.82882883     3.06195918     4.16340430     161569009.61818781
3.84384384     2.91031800     4.14937933     161656212.73021728
3.85885886     2.76493096     4.08591634     159805561.75975108
3.87387387     2.66329526     3.99008025     156664512.83475822
3.88888889     2.61204530     3.89872188     153670787.26073158
3.90390390     2.59217328     3.83631685     151794876.51601732
3.91891892     2.58044455     3.80813684     151259391.85179526
3.93393393     2.55854246     3.80988351     151908573.10730559
3.94894895     2.50957157     3.83048067     153312766.31088054
3.96396396     2.42372999     3.84591338     154515738.08112079
3.97897898     2.31339857     3.82800901     154378963.85056522
3.99399399     2.20916526     3.76832151     152545317.56455290
4.00900901     2.13349265     3.68269323     149639449.32040158
4.02402402     2.09036880     3.59072436     146448914.92252922
4.03903904     2.07577654     3.50566845     143513387.87204796
4.05405405     2.08315417     3.43672880     141214184.41008809
4.06906907     2.10432897     3.39020677     139818543.60029632
4.08408408     2.12896429     3.36999983     139498031.43688390
4.09909910     2.14492151     3.37520001     140226939.81600752
4.11411411     2.14082037     3.39993143     141771853.38241339
4.12912913     2.10679648     3.43229582     143643739.25548479
4.14414414     2.04028167     3.45294169     145033264.49638945
4.15915916     1.95342433     3.44179768     145088971.79394436
4.17417417     1.87125655     3.39238761     143522357.60214376
4.18918919     1.81444044     3.31795004     140878053.44881904
4.20420420     1.78750187     3.23752494     137955954.28830194
4.21921922     1.78562951     3.16440561     135321798.67806938
4.23423423     1.80080838     3.10714503     133345980.49918665
4.24924925     1.82217459     3.06905839     132178519.26547329
4.26426426     1.84014519     3.04607950     131652427.01845603
4.27927928     1.85233764     3.03047419     131439151.21257313
4.29429429     1.86240395     3.01911777     131406056.69683166
4.30930931     1.87179542     3.01517386     131693261.24655092
4.32432432     1.87594445     3.02138659     132424420.30139185
4.33933934     1.86862289     3.03593855     133524240.40277155
4.35435435     1.84368840     3.05353488     134762847.66004616
4.36936937     1.79711557     3.06191264     135598561.24574596
4.38438438     1.73762786     3.04447948     135289844.81741276
4.39939940     1.68723519     2.99743096     133655275.57905307
4.41441441     1.66165591     2.93590920     131358822.40166308
4.42942943     1.65921171     2.87757697     129186836.01683955
4.44444444     1.67042768     2.82999034     127481146.43334506
4.45945946     1.68824604     2.79366517     126269976.24280956
4.47447447     1.70808277     2.76804002     125533004.68118638
4.48948949     1.72526293     2.75065634     125163246.22600448
4.50450450     1.73880796     2.73584338     124905563.34429337
4.51951952     1.75341167     2.72120788     124651501.02902672
4.53453453     1.77156903     2.71073991     124584521.65677920
4.54954955     1.79049601     2.70717558     124832695.76831786
4.56456457     1.80791723     2.71026799     125387751.93138851
4.57957958     1.82255370     2.72013721     126258302.91369049
4.59459460     1.83185700     2.73810692     127509084.25440659
4.60960961     1.82887261     2.76329176     129102428.94379558
4.62462463     1.80757576     2.78549663     130563760.67628928
4.63963964     1.77499091     2.79093763     131243531.32743804
4.65465465     1.74767313     2.77906696     131108244.10633737
4.66966967     1.73224772     2.76297036     130769333.81010775
4.68468468     1.72137990     2.75024123     130585416.62607631
4.69969970     1.71009652     2.73750784     130397422.01051316
4.71471472     1.69984373     2.72238810     130091518.14504479
4.72972973     1.69166287     2.70466511     129656217.70162398
4.74474475     1.68719803     2.68385621     129067121.22873595
4.75975976     1.68906609     2.66095114     128370566.54206157
4.77477478     1.69940245     2.63907155     127716668.56106409
4.78978979     1.71802286     2.62317849     127346737.17461416
4.80480480     1.74059901     2.61751148     127469966.01171704
4.81981982     1.76112731     2.62153923     128065069.71087018
4.83483483     1.77676040     2.63175012     128964393.16770564
4.84984985     1.78695139     2.64515449     130023802.08704644
4.86486487     1.79225674     2.65929438     131123557.12495106
4.87987988     1.79405963     2.67241141     132177025.77700692
4.89489490     1.79449850     2.68376034     133146767.75710531
4.90990991     1.79539581     2.69411151     134070311.06795405
4.92492493     1.79782177     2.70426096     134986935.95377076
4.93993994     1.80394406     2.71611951     135992221.88117057
4.95495495     1.81327226     2.73484167     137345812.73897320
4.96996997     1.82074281     2.76315160     139188066.83070955
4.98498498     1.82201798     2.80042047     141491588.70180956
5.00000000     1.81231533     2.84586509     144220779.12587923
5.01501502     1.78494299     2.89428978     147115277.41082209
5.03003003     1.73843501     2.93404408     149582482.57665604
5.04504505     1.68152857     2.95524810     151113241.27725318
5.06006006     1.62651500     2.95771033     151689260.70256117
5.07507507     1.58105437     2.94810898     151645501.04717883
5.09009009     1.54669905     2.93476385     151405675.66721469
5.10510510     1.51966480     2.92347576     151268224.83506471
5.12012012     1.49538964     2.91467334     151256331.52808499
5.13513513     1.47277513     2.90706697     151304010.05298427
5.15015015     1.45154892     2.90122062     151441245.11619151
5.16516517     1.43016889     2.89775277     151701218.19209036
5.18018018     1.40641286     2.89650437     152076664.68949610
5.19519520     1.37735656     2.89510388     152443723.11767575
5.21021021     1.34295535     2.88810616     152514776.94289792
5.22522522     1.30821966     2.87125796     152062018.65645233
5.24024024     1.28078694     2.84548928     151130346.04840571
5.25525525     1.26536965     2.81830796     150115586.33631793
5.27027027     1.25828437     2.79786609     149452552.54832089
5.28528528     1.25251861     2.78515535     149197444.02778375
5.30030030     1.24510680     2.77750437     149210282.59333634
5.31531532     1.23512561     2.77390959     149439312.42762107
5.33033033     1.21995695     2.77357610     149843440.10783225
5.34534535     1.19688152     2.77242556     150203201.20218179
5.36036036     1.16741235     2.76409206     150172363.58117032
5.37537537     1.13819857     2.74526436     149567245.06444550
5.39039039     1.11576183     2.71887806     148543439.44326952
5.40540540     1.10198173     2.69052510     147403855.90582433
5.42042042     1.09505245     2.66416537     146365148.07108939
5.43543543     1.09285914     2.64089483     145488602.55797181
5.45045045     1.09456133     2.62173628     144832132.62056813
5.46546547     1.09827027     2.60790184     144464760.46449462
5.48048048     1.10217806     2.59944841     144392077.15032217
5.49549550     1.10429919     2.59697740     144650037.84697750
5.51051051     1.10036895     2.59938778     145179880.32006207
5.52552553     1.08789915     2.60051154     145638400.31149703
5.54054054     1.07195171     2.59403466     145670441.63218856
5.55555556     1.06075928     2.58191803     145382947.76209778
5.57057057     1.05593955     2.57216428     145225175.06160608
5.58558559     1.05111901     2.56962934     145473108.58214882
5.60060060     1.03908973     2.57067768     145923673.82792258
5.61561562     1.01980005     2.56754624     146136658.32125294
5.63063063     0.99900044     2.55690117     145919894.29402599
5.64564565     0.98065009     2.54050654     145370893.35310656
5.66066066     0.96662328     2.51935203     144543811.54423517
5.67567568     0.96067661     2.49604898     143586695.04246971
5.69069069     0.96281939     2.47751418     142897507.89522061
5.70570571     0.96681283     2.46745698     142692939.01683587
5.72072072     0.96719108     2.46360592     142845153.68938929
5.73573574     0.96174438     2.46194538     143123541.46586418
5.75075075     0.95098034     2.45806984     143272318.23232520
5.76576577     0.93832548     2.44922977     143129795.69567356
5.78078078     0.92769689     2.43597106     142725689.42645872
5.79579580     0.92112484     2.42090657     142211471.43409973
5.81081081     0.91864141     2.40668272     141742177.67833632
5.82582583     0.91908479     2.39555137     141451158.84568515
5.84084084     0.91956297     2.38858261     141403175.84844273
5.85585586     0.91762456     2.38360343     141471156.70908773
5.87087087     0.91458047     2.37800749     141500922.65781546
5.88588589     0.91292003     2.37295736     141561546.15263522
5.90090090     0.91129033     2.37144776     141832385.78807661
5.91591592     0.90599678     2.37246917     142254526.74095243
5.93093093     0.89717967     2.37263413     142625495.25603250
5.94594595     0.88669856     2.37172205     142931606.25208318
5.96096096     0.87401379     2.37021147     143201279.34491456
5.97597598     0.85845936     2.36661972     143344438.71725094
5.99099099     0.84107148     2.35885596     143233173.57653233
6.00600601     0.82478802     2.34588442     142802529.07743683
6.02102102     0.81277651     2.32971834     142172987.02523166
6.03603604     0.80499479     2.31410931     141572603.50743771
6.05105105     0.79848463     2.30046786     141088141.44909802
6.06606607     0.79136167     2.28652531     140581014.91080371
6.08108108     0.78599571     2.26991965     139905505.21218342
6.09609610     0.78605692     2.25291202     139200104.99126565
6.11111111     0.79086175     2.24054892     138777204.90388158
6.12612613     0.79558164     2.23493075     138769342.71182576
6.14114114     0.79588199     2.23363266     139028665.89331982
6.15615616     0.79080509     2.23217469     139277618.45573315
6.17117117     0.78293007     2.22705116     139296855.11582872
6.18618619     0.77650986     2.21811238     139075316.85563573
6.20120120     0.77414478     2.20868841     138820562.26940274
6.21621622     0.77449556     2.20302778     138800046.21220779
6.23123123     0.77285876     2.20218719     139082223.38362569
6.24624625     0.76614634     2.20249548     139436878.68315524
6.26126126     0.75595140     2.20001188     139614452.10286328
6.27627628     0.74562078     2.19438801     139591508.61672944
6.29129129     0.73640914     2.18766979     139497070.88739607
6.30630631     0.72723153     2.18118301     139415382.22541448
6.32132132     0.71665859     2.17433598     139308637.72901118
6.33633634     0.70448135     2.16524454     139055669.30049402
6.35135135     0.69263488     2.15226406     138549581.26709837
6.36636637     0.68395653     2.13611700     137835215.30410820
6.38138138     0.67980711     2.11943240     137081168.05099839
6.39639640     0.67919400     2.10503152     136470096.27806556
6.41141141     0.67945065     2.09372634     136055808.79052365
6.42642643     0.67905248     2.08411508     135748413.31055218
6.44144144     0.67824529     2.07515254     135480445.26372048
6.45645646     0.67724681     2.06660514     135236915.44570854
6.47147147     0.67635682     2.05819410     134999728.55777097
6.48648649     0.67601502     2.05020516     134787731.66426066
6.50150150     0.67601754     2.04299741     134624780.73211020
6.51651652     0.67645364     2.03643856     134502494.32461753
6.53153153     0.67788304     2.03121393     134466536.70017651
6.54654655     0.67973801     2.02903974     134631393.00855318
6.56156156     0.67931798     2.03088297     135062763.40836936
6.57657658     0.67332708     2.03461697     135620727.27481705
6.59159159     0.66159209     2.03568293     136001579.45194843
6.60660661     0.64761606     2.03149829     136031170.19812527
6.62162162     0.63462541     2.02306532     135774368.62722301
6.63663664     0.62344131     2.01240572     135365224.66096017
6.65165165     0.61334268     2.00045817     134866005.92465466
6.66666667     0.60392865     1.98648883     134226539.26529655
6.68168168     0.59663889     1.96974089     133394648.54682858
6.69669670     0.59335578     1.95138059     132448223.28788967
6.71171171     0.59453253     1.93348405     131527756.58498639
6.72672673     0.59973582     1.91783692     130755204.94937252
6.74174174     0.60778987     1.90604426     130241268.96397646
6.75675676     0.61699848     1.89886348     130039578.08468722
6.77177177     0.62589729     1.89688639     130192857.01642796
6.78678679     0.63147435     1.90080819     130751303.12583101
6.80180180     0.62935500     1.90772197     131517207.43251267
6.81681682     0.61956323     1.91118042     132046482.40734169
6.83183183     0.60722993     1.90801232     132117962.15289609
6.84684685     0.59633873     1.89985325     131842125.02452737
6.86186186     0.58806812     1.88870777     131356105.44136298
6.87687688     0.58321651     1.87605175     130761408.09869005
6.89189189     0.58208079     1.86400514     130205427.02244954
6.90690691     0.58343925     1.85486237     129849062.27863264
6.92192192     0.58431487     1.84958264     129760933.55374987
6.93693694     0.58178369     1.84609218     129797000.11031482
6.95195195     0.57617920     1.84076457     129702555.65019239
6.96696697     0.57038564     1.83240702     129392536.04292254
6.98198198     0.56608408     1.82232896     128958219.13594764
6.99699700     0.56332318     1.81146528     128465120.12517339
7.01201201     0.56249971     1.80008601     127932071.57970519
7.02702703     0.56436134     1.78934853     127441270.15049075
7.04204204     0.56836201     1.78130497     127139476.37117301
7.05705706     0.57215804     1.77704557     127105902.63630858
7.07207207     0.57336125     1.77542622     127260267.67044787
7.08708709     0.57133323     1.77429342     127449089.79936960
7.10210210     0.56660345     1.77222518     127570230.64056182
7.11711712     0.55961535     1.76817768     127547967.26682213
7.13213213     0.55149942     1.76072781     127278523.62226044
7.14714715     0.54469342     1.74953969     126736015.32490292
7.16216216     0.54120057     1.73627447     126039321.18281740
7.17717718     0.54114467     1.72338748     125366102.93761852
7.19219219     0.54295326     1.71208437     124804421.49873246
7.20720721     0.54593017     1.70183584     124316335.56129082
7.22222222     0.55059153     1.69320367     123943447.95745172
7.23723724     0.55602748     1.68768503     123796319.50091860
7.25225225     0.56005559     1.68565063     123903619.57810517
7.26726727     0.56039060     1.68579119     124170502.11211257
7.28228228     0.55607002     1.68508424     124374873.48474397
7.29729730     0.54877334     1.68054172     124295344.94950162
7.31231231     0.54158716     1.67139016     123872840.94894370
7.32732733     0.53680729     1.65880655     123192667.54405327
7.34234234     0.53547078     1.64451730     122381734.08855245
7.35735736     0.53763294     1.63016033     121561400.67490801
7.37237237     0.54292209     1.61679296     120810643.56176493
7.38738739     0.55111948     1.60556949     120216341.31732011
7.40240240     0.56098756     1.59806669     119897772.35353655
7.41741742     0.57000308     1.59448323     119871572.12178640
7.43243243     0.57640685     1.59309229     120009446.18330407
7.44744745     0.58006139     1.59175988     120151314.56363721
7.46246246     0.58215409     1.58873365     120164664.68347380
7.47747748     0.58499201     1.58373170     120027358.80822861
7.49249249     0.58994483     1.57855398     119875181.90617146
7.50750751     0.59623692     1.57475759     119826537.75090504
7.52252252     0.60296077     1.57234022     119881880.33404833
7.53753754     0.61013494     1.57113449     120029052.02646536
7.55255255     0.61805875     1.57168528     120310315.68771686
7.56756757     0.62622681     1.57539142     120833765.46970527
7.58258258     0.63242264     1.58306108     121662951.22314094
7.59759760     0.63411263     1.59340249     122700209.62831351
7.61261261     0.63002757     1.60361284     123730503.21380475
7.62762763     0.62098334     1.61021962     124485315.29303531
7.64264264     0.61025474     1.61115552     124802861.28302771
7.65765766     0.60146060     1.60711043     124734098.24179780
7.67267267     0.59687192     1.60098920     124502650.81181373
7.68768769     0.59554640     1.59646219     124393559.05561386
7.70270270     0.59422353     1.59415395     124456309.86925815
7.71771772     0.59179604     1.59193197     124525106.14996627
7.73273273     0.58956324     1.58885265     124526031.77447292
7.74774775     0.58828330     1.58582653     124530197.88214208
7.76276276     0.58731736     1.58354730     124592207.26532947
7.77777778     0.58609917     1.58168030     124686019.43915881
7.79279279     0.58475119     1.57988173     124784668.75591257
7.80780781     0.58350268     1.57825367     124896264.16771981
7.82282282     0.58219524     1.57715219     125049114.96530661
7.83783784     0.58022833     1.57646999     125234938.96447679
7.85285285     0.57750344     1.57552242     125399433.29085690
7.86786787     0.57445393     1.57391582     125511084.65079954
7.88288288     0.57172182     1.57155421     125561924.92041248
7.89789790     0.57005697     1.56903411     125599360.14360826
7.91291291     0.56947899     1.56768967     125730316.22734964
7.92792793     0.56850337     1.56877946     126056462.31000324
7.94294294     0.56444803     1.57155342     126518524.21060041
7.95795796     0.55639323     1.57254822     126837927.17063707
7.97297297     0.54729174     1.56901002     126791323.45446469
7.98798799     0.54070540     1.56221911     126480296.39772217
8.00300300     0.53720753     1.55493726     126127380.13597655
8.01801802     0.53584639     1.54864750     125852871.85170221
8.03303303     0.53552914     1.54394607     125705767.77268107
8.04804805     0.53527963     1.54078809     125683133.31191069
8.06306306     0.53438593     1.53895535     125767839.71072073
